id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2118,DNMM,large_airport,"Murtala Muhammed International Airport",6.5773701667785645,3.321160078048706,135,AF,Nigeria,NG,Lagos,NG-LA,LA,Lagos,1,DNMM,LOS,,http://www.faannigeria.org/nigeria-airport.php?airport=1,https://en.wikipedia.org/wiki/Murtala_Mohammed_International_Airport,,1275,2009-03-02T11:53:36+00:00
2104,DNAA,large_airport,"Nnamdi Azikiwe International Airport",9.006790161132812,7.263169765472412,1123,AF,Nigeria,NG,"Abuja Capital Territory",NG-FC,FC,Abuja,1,DNAA,ABV,,http://www.faannigeria.org/nigeria-airport.php?airport=3,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,,1275,2009-03-02T11:54:21+00:00
2120,DNPO,medium_airport,"Port Harcourt International Airport",5.0154900550842285,6.94959020614624,87,AF,Nigeria,NG,Rivers,NG-RI,RI,"Port Harcourt",1,DNPO,PHC,,http://www.faannigeria.org/nigeria-airport.php?airport=4,https://en.wikipedia.org/wiki/Port_Harcourt_International_Airport,,1050,2009-03-02T11:56:34+00:00
2115,DNKN,large_airport,"Mallam Aminu International Airport",12.0476,8.52462,1562,AF,Nigeria,NG,Kano,NG-KN,KN,Kano,1,DNKN,KAN,,http://www.faannigeria.org/nigeria-airport.php?airport=2,https://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport,,1475,2018-03-18T09:54:27+00:00
2114,DNKA,medium_airport,"Kaduna Airport",10.696000099182129,7.320109844207764,2073,AF,Nigeria,NG,Kaduna,NG-KD,KD,Kaduna,1,DNKA,KAD,,http://www.faannigeria.org/nigeria-airport.php?airport=10,https://en.wikipedia.org/wiki/Kaduna_Airport,,975,2009-03-02T11:58:49+00:00
2106,DNBE,medium_airport,"Benin Airport",6.316979885101318,5.5995001792907715,258,AF,Nigeria,NG,Edo,NG-ED,ED,Benin,1,DNBE,BNI,,http://www.faannigeria.org/nigeria-airport.php?airport=22,https://en.wikipedia.org/wiki/Benin_Airport,,800,2009-03-02T12:07:00+00:00
32192,NG-QRW,medium_airport,"Warri Airport",5.59611,5.81778,242,AF,Nigeria,NG,Delta,NG-DE,DE,Warri,1,DNSU,QRW,,http://www.faannigeria.org/nigeria-airport.php?airport=25,https://en.wikipedia.org/wiki/Warri_Airport,"Osubi Airstrip, Shell",350,2018-08-30T07:25:48+00:00
2117,DNMK,medium_airport,"Makurdi Airport",7.70388,8.61394,371,AF,Nigeria,NG,Benue,NG-BE,BE,Makurdi,1,DNMK,MDI,,http://www.faannigeria.org/nigeria-airport.php?airport=23,https://en.wikipedia.org/wiki/Makurdi_Airport,,250,2017-03-28T10:38:42+00:00
309668,DNAI,large_airport,"Akwa Ibom International Airport",4.8725,8.093,170,AF,Nigeria,NG,"Akwa Ibom",NG-AK,AK,Uyo,1,DNAI,QUO,,http://www.ibomairport.com.ng/,https://en.wikipedia.org/wiki/Akwa_Ibom_Airport,,0,2013-09-28T12:53:18+00:00
2111,DNIL,medium_airport,"Ilorin International Airport",8.440210342407227,4.493919849395752,1126,AF,Nigeria,NG,Kwara,NG-KW,KW,Ilorin,1,DNIL,ILR,,http://www.faannigeria.org/nigeria-airport.php?airport=20,https://en.wikipedia.org/wiki/Ilorin_International_Airport,,1050,2009-03-02T12:07:48+00:00
2121,DNSO,medium_airport,"Sadiq Abubakar III International Airport",12.916299819946289,5.207190036773682,1010,AF,Nigeria,NG,Sokoto,NG-SO,SO,Sokoto,1,DNSO,SKO,,http://www.faannigeria.org/nigeria-airport.php?airport=13,https://en.wikipedia.org/wiki/Sadiq_Abubakar_III_International_Airport,,1050,2009-03-02T12:02:15+00:00
2107,DNCA,medium_airport,"Margaret Ekpo International Airport",4.976019859313965,8.347200393676758,210,AF,Nigeria,NG,"Cross River",NG-CR,CR,Calabar,1,DNCA,CBQ,,http://www.faannigeria.org/nigeria-airport.php?airport=12,https://en.wikipedia.org/wiki/Margaret_Ekpo_International_Airport,,975,2009-03-02T12:00:31+00:00
2116,DNMA,medium_airport,"Maiduguri International Airport",11.855299949645996,13.080900192260742,1099,AF,Nigeria,NG,Borno,NG-BO,BO,Maiduguri,1,DNMA,MIU,,http://www.faannigeria.org/nigeria-airport.php?airport=14,https://en.wikipedia.org/wiki/Maiduguri_International_Airport,,975,2009-03-02T12:01:34+00:00
2122,DNYO,medium_airport,"Yola Airport",9.257550239562988,12.430399894714355,599,AF,Nigeria,NG,Adamawa,NG-AD,AD,Yola,1,DNYO,YOL,,http://www.faannigeria.org/nigeria-airport.php?airport=16,https://en.wikipedia.org/wiki/Yola_Airport,,925,2009-03-02T12:03:38+00:00
2108,DNEN,medium_airport,"Akanu Ibiam International Airport",6.474269866943359,7.561960220336914,466,AF,Nigeria,NG,Enugu,NG-EN,EN,Enegu,1,DNEN,ENU,,http://www.faannigeria.org/nigeria-airport.php?airport=11,https://en.wikipedia.org/wiki/Akanu_Ibiam_International_Airport,,800,2009-03-02T11:59:58+00:00
2110,DNIB,medium_airport,"Ibadan Airport",7.362460136413574,3.97832989692688,725,AF,Nigeria,NG,Oyo,NG-OY,OY,Ibadan,1,DNIB,IBA,,http://www.faannigeria.org/nigeria-airport.php?airport=7,https://en.wikipedia.org/wiki/Ibadan_Airport,,800,2009-03-02T12:05:41+00:00
2119,DNMN,medium_airport,"Minna Airport",9.652170181274414,6.462259769439697,834,AF,Nigeria,NG,Niger,NG-NI,NI,Minna,0,DNMN,MXJ,,http://www.faannigeria.org/nigeria-airport.php?airport=19,https://en.wikipedia.org/wiki/Minna_Airport,,325,2009-03-02T11:52:12+00:00
300781,DNAS,medium_airport,"Asaba International Airport",6.204167,6.665278,305,AF,Nigeria,NG,Delta,NG-DE,DE,Asaba,0,DNAS,ABB,,,https://en.wikipedia.org/wiki/Asaba_International_Airport,Onitsha,0,2018-05-01T04:06:34+00:00
44578,NG-0003,medium_airport,"Gombe Lawanti International Airport",10.298333333299999,10.896388888899999,1590,AF,Nigeria,NG,Gombe,NG-GO,GO,Gombe,1,DNGO,GMO,,,https://en.wikipedia.org/wiki/Gombe_Lawanti_International_Airport,,0,2012-01-22T09:15:42+00:00
2113,DNJO,medium_airport,"Yakubu Gowon Airport",9.639829635620117,8.869050025939941,4232,AF,Nigeria,NG,Plateau,NG-PL,PL,Jos,1,DNJO,JOS,,http://www.faannigeria.org/nigeria-airport.php?airport=15,https://en.wikipedia.org/wiki/Yakubu_Gowon_Airport,,625,2009-03-02T12:10:13+00:00
2105,DNAK,medium_airport,"Akure Airport",7.246739864349365,5.3010101318359375,1100,AF,Nigeria,NG,Ondo,NG-ON,ON,Akure,1,DNAK,AKR,,http://www.faannigeria.org/nigeria-airport.php?airport=21,https://en.wikipedia.org/wiki/Akure_Airport,,550,2009-03-02T12:33:45+00:00
2112,DNIM,medium_airport,"Sam Mbakwe International Airport",5.427060127258301,7.206029891967773,373,AF,Nigeria,NG,Imo,NG-IM,IM,Owerri,1,DNIM,QOW,,http://www.faannigeria.org/nigeria-airport.php?airport=17,https://en.wikipedia.org/wiki/Sam_Mbakwe_International_Cargo_Airport,"Imo Airport",550,2009-03-02T12:13:19+00:00
2109,DNGU,medium_airport,"Gusau Airport",12.1717,6.69611,1520,AF,Nigeria,NG,Zamfara,NG-ZA,ZA,Gusau,0,DNGU,,,,,QUS,250,2017-01-07T13:07:48+00:00
2123,DNZA,medium_airport,"Zaria Airport",11.1302,7.68581,2170,AF,Nigeria,NG,Kaduna,NG-KD,KD,Zaria,0,DNZA,ZAR,,http://www.faannigeria.org/nigeria-airport.php?airport=24,https://en.wikipedia.org/wiki/Zaria_Airport,,250,2017-03-28T10:40:09+00:00
4969,DN55,small_airport,"Eket Airport",4.642182,7.94904,47,AF,Nigeria,NG,"Akwa Ibom",NG-AK,AK,,0,DNEK,,,,https://en.wikipedia.org/wiki/Eket_Airstrip,DN55,50,2017-05-05T18:12:58+00:00
4970,DN56,small_airport,"Escravos Airport",5.61673,5.188485,10,AF,Nigeria,NG,Delta,NG-DE,DE,,0,DNES,,,,https://en.wikipedia.org/wiki/Escravos_Airstrip,DN56,50,2017-05-05T18:45:05+00:00
4967,DN53,small_airport,"Kaduna Old Airport",10.598899841308594,7.448709964752197,2126,AF,Nigeria,NG,Kaduna,NG-KD,KD,,0,DN53,,DN53,,,,50,2008-06-13T14:30:04+00:00
4966,DN51,small_airport,"Ajaokuta Airport",7.457240104675293,6.461130142211914,620,AF,Nigeria,NG,Kogi,NG-KO,KO,,0,DN51,,DN51,,,,50,2008-06-13T14:30:04+00:00
4965,DN50,small_airport,"Shiroro Airport",9.884650230407715,6.818630218505859,1305,AF,Nigeria,NG,Niger,NG-NI,NI,,0,DN50,,DN50,,,,50,2008-06-13T14:30:04+00:00
42464,NG-0002,small_airport,Kainji,9.892666816711426,4.485443592071533,,AF,Nigeria,NG,Niger,NG-NI,NI,,0,,,,,,,50,2008-11-07T18:54:41+00:00
4968,DN54,small_airport,"Bajoga Northeast Airport",10.919899940490723,11.501199722290039,1000,AF,Nigeria,NG,Gombe,NG-GO,GO,Bajoga,0,DN54,,DN54,,,,50,2008-08-09T23:00:52+00:00
30689,NG-BCU,small_airport,"Bauchi Airport",10.294402,9.816672,1998,AF,Nigeria,NG,Bauchi,NG-BA,BA,Bauchi,0,DNBA,,,http://www.faannigeria.org/nigeria-airport.php?airport=26,https://en.wikipedia.org/wiki/Bauchi_Airport,BCU,50,2017-05-07T01:10:25+00:00
30927,DNBI,small_airport,"Bida Airport",9.100000381469727,6.017000198364258,450,AF,Nigeria,NG,Niger,NG-NI,NI,Bida,0,DNBI,,,,,,50,2008-08-03T11:27:47+00:00
4971,DN57,small_airport,"Katsina Airport",13.007800102200001,7.660449981689999,1660,AF,Nigeria,NG,Katsina,NG-KT,KT,Katsina,0,,DKA,,http://www.faannigeria.org/nigeria-airport.php?airport=18,https://en.wikipedia.org/wiki/Katsina_Airport,DN57,50,2012-01-01T17:29:28+00:00
30930,DNOS,small_airport,"Oshogbo Airport",7.7829999923706055,4.482999801635742,997,AF,Nigeria,NG,Osun,NG-OS,OS,Oshogbo,0,DNOS,,,,,,50,2008-08-03T11:27:48+00:00
42463,NG-0001,closed,Agbara-Otor,5.529193878173828,6.058831214904785,,AF,Nigeria,NG,Delta,NG-DE,DE,,0,,,,,,,0,2008-11-07T18:44:14+00:00
323056,DNBC,medium_airport,"Sir Abubakar Tafawa Balewa International Airport",10.482833,9.744,1965,AF,Nigeria,NG,Bauchi,NG-BA,BA,Bauchi,1,DNBC,BCU,,,https://en.wikipedia.org/wiki/Bauchi_State_Airport,"Bauchi State Airport",0,2017-05-07T00:55:35+00:00
323015,DNBB,small_airport,"Bebi Airport",6.6215,9.319001,919,AF,Nigeria,NG,"Cross River",NG-CR,CR,Bayaluga,0,DNBB,,,,https://en.wikipedia.org/wiki/Portal:Aviation,Obudu,0,2017-05-05T12:58:54+00:00
313797,NG-0005,small_airport,"Srr Ahmadu Bello International Airport",12.480556,4.369445,775,AF,Nigeria,NG,Kebbi,NG-KE,KE,"Birinin Kebbi",1,DNBK,,,,https://en.wikipedia.org/wiki/Kebbi_International_Airport#Airlines_and_destinations,"Kebbi International Airport",0,2017-05-05T14:06:16+00:00
323025,DNDS,small_airport,"Dutse International Airport",11.795168,9.311667,1365,AF,Nigeria,NG,Jigawa,NG-JI,JI,Dutse,0,DNDS,,,,https://en.wikipedia.org/wiki/Dutse_International_Airport,,0,2017-05-05T17:38:59+00:00
323029,DNFB,small_airport,"Finima Bonny Airport",4.406626,7.176096,,AF,Nigeria,NG,Rivers,NG-RI,RI,Finima,0,DNFB,,,,,,0,2017-05-05T19:18:49+00:00
323031,DNFD,small_airport,"Forcados Terminal Airport",5.355,5.349002,11,AF,Nigeria,NG,Delta,NG-DE,DE,Forcados,0,DNFD,,,,,,0,2017-05-05T19:41:18+00:00
319224,DNJA,small_airport,"Jalingo Airport",8.900587,11.27946,685,AF,Nigeria,NG,Taraba,NG-TA,TA,Jalingo,0,DNJA,,,,https://en.wikipedia.org/wiki/Jalingo_Airport,,0,2016-06-29T02:48:56+00:00
330056,NG-0007,small_airport,"Lokoja Airstrip",7.801829,6.582793,320,AF,Nigeria,NG,Kogi,NG-KO,KO,Lokoja,0,,,,,,,0,2019-01-13T11:39:34+00:00
300565,NG-0004,small_airport,"Port Harcourt City Airport",4.846111111110001,7.021388888890001,57,AF,Nigeria,NG,Rivers,NG-RI,RI,"Port Harcourt",1,,PHG,,,https://en.wikipedia.org/wiki/Port_Harcourt_NAF_Base,"Port Harcourt NAF Base",0,2012-01-22T08:13:54+00:00
330057,NG-0008,closed,"Suntai Airstrip",7.909458,10.374472,475,AF,Nigeria,NG,Taraba,NG-TA,TA,Suntai,0,,,,,,,0,2019-01-13T11:59:19+00:00
